year,region,season,lead_month,sumDry_for,normal_for,sumMonsoon_for,sumDry_obs,normal_obs,sumMonsoon_obs,avgPCP_mmDay,antecedent_3m_for,antecedent_2m_for,antecedent_1m_for,antecedent_3m_obs,antecedent_2m_obs,antecedent_1m_obs,sumq_for,sumq_obs,sumtclw_for,sumtclw_obs,sumtcwv_for,sumtcwv_obs,sumtprate_for,sumtprate_obs,phase_soi,soi,dsst3.4,phase_nino,mei,phase_mei,ant_soi_obs,ant_soi_for,ant_mei_obs,ant_mei_for,ant_dsst3.4_obs,ant_dsst3.4_for
2006,AZ_East,AS,4.0,12.68,26.76,21.56,15,19,27,1.98592345,8.551625066666667e-09,1.167602075e-08,1.9158643e-08,7.087057425287311e-09,9.406204524319274e-09,1.7942108033172455e-08,0.0177463819999999,0.017494467776766,0.0976572739999999,0.0635627674711022,45.285754,42.220724330464186,4.299665900000001e-08,4.5006864222810194e-08,,,,,,,-1.0,1.8,0.59,-0.62,0.31,-0.71
2007,AZ_East,AS,4.0,10.56,29.24,21.2,9,29,23,1.4960884,9.790156733333333e-09,1.33407883e-08,2.1743297e-08,9.620170393902778e-09,7.922429801329284e-09,7.461891983059028e-09,0.0182202335,0.017068334408947,0.098561867,0.0522915888030617,45.948822,44.256504638501546,4.5529897e-08,2.749326856888426e-08,,,,,,,0.4,0.2,-0.9,-0.19,-0.72,-0.18
2008,AZ_East,AS,4.0,10.6,28.0,22.4,13,33,15,1.4647148,9.788359866666666e-09,1.37029148e-08,2.3344795e-08,1.3012881768937114e-08,8.173325164667246e-09,1.196746284384259e-09,0.018439867,0.016291139585813,0.104185772,0.0431392421507382,46.057347,41.47218195758544,5.3601128e-08,3.1564277408513895e-08,,,,,,,1.0,1.4,-1.01,-1.52,-0.13,-1.21
2009,AZ_East,AS,4.0,8.68,27.0,25.32,22,33,6,0.90934778,8.7516855e-09,1.203564535e-08,1.9520499e-08,7.459357567573303e-09,7.573257181159144e-09,4.916616958707176e-09,0.018149666,0.0129290894068588,0.105736926,0.0274308645289475,46.126896,34.75346645429957,5.099322e-08,1.8889453710101853e-08,,,,,,,-0.2,0.4,0.56,-0.95,0.56,-0.7
2010,AZ_East,AS,4.0,9.28,26.880000000000003,24.840000000000003,15,32,14,1.47414148,9.0270174e-09,1.1910577500000001e-08,2.1376078e-08,2.1571194846294752e-08,1.4255875251068288e-08,9.877605804631944e-09,0.018723093,0.0164861496598326,0.102427657,0.0482788197756574,47.771401,41.09613320189028,4.6430234e-08,2.876461141061111e-08,,,,,,,1.8,-0.7,-2.38,1.33,-1.38,0.9
2011,AZ_East,AS,4.0,12.64,29.28,19.08,13,33,15,1.5847017,7.824648566666667e-09,1.08095577e-08,1.978725e-08,4.62522979625733e-09,6.236768876372107e-09,2.9347589744189813e-09,0.0177820205,0.0159726566624326,0.099017889,0.0386460935710325,45.088085,43.21044492779541,4.7583313e-08,2.6086691513865744e-08,,,,,,,0.4,2.5,-0.81,-1.75,-0.64,-0.92
2012,AZ_East,AS,4.0,9.52,28.28,23.2,13,26,22,1.4034735,9.505434466666669e-09,1.325707615e-08,2.1730017e-08,5.505794017466436e-09,6.478048369190972e-09,6.957347139244213e-09,0.018323098,0.0158193457308594,0.102549265,0.041374945202007,46.961905,42.39743250578873,4.6453379e-08,2.5569294123409726e-08,,,,,,,-0.2,0.7,-0.02,-0.58,0.47,-0.61
2013,AZ_East,AS,4.0,8.4,25.48,27.12,9,22,30,1.95974965,1.0657189166666666e-08,1.498715175e-08,2.5782708e-08,8.937777062795911e-09,6.8199002164571765e-09,5.757893816646991e-09,0.0191180815,0.0171001088568314,0.1105130669999999,0.0683616146854899,47.769096000000005,43.547780441208616,5.241771e-08,4.055581075766203e-08,,,,,,,0.2,1.5,-0.45,-0.12,-0.38,-0.25
2014,AZ_East,AS,4.0,8.2,26.92,25.880000000000003,6,26,29,2.5513426,1.0989166833333334e-08,1.4819095500000001e-08,2.4099606e-08,5.138656864002558e-09,7.408916422221065e-09,1.2099024900962965e-08,0.018587147,0.0180605084873385,0.10486908,0.0766814084112799,47.304687,44.709336894973625,4.8294947e-08,5.466326969631829e-08,,,,,,,-0.7,-0.9,0.23,-0.05,-0.03,-0.28
2015,AZ_East,AS,4.0,5.84,29.4,25.76,0,45,16,1.72275795,1.0463631866666666e-08,1.2530724e-08,2.1710013e-08,1.2755579748496916e-08,8.67398599713426e-09,1.0491585610604168e-08,0.0189152325,0.0175466216528526,0.109075047,0.0477754699497851,48.447759000000005,44.47834965141694,5.1106278e-08,2.739793374489236e-08,,,,,,,-1.4,-0.7,1.95,0.15,1.93,0.47
