time,tcwv,Month,Year,Region
1957-01-01,9.72018771152622,1,1957,AZ_West
1957-02-01,11.899743167202235,2,1957,AZ_West
1957-03-01,9.0885315116106,3,1957,AZ_West
1957-04-01,8.136979556257995,4,1957,AZ_West
1957-05-01,10.495136622777329,5,1957,AZ_West
1957-06-01,12.1780841694123,6,1957,AZ_West
1957-07-01,19.832810348355785,7,1957,AZ_West
1957-08-01,22.00184339005426,8,1957,AZ_West
1957-09-01,14.692512655655698,9,1957,AZ_West
1957-10-01,14.89289358769076,10,1957,AZ_West
1957-11-01,8.975954455846372,11,1957,AZ_West
1957-12-01,8.002192063706579,12,1957,AZ_West
1958-01-01,7.048968870119806,1,1958,AZ_West
1958-02-01,10.650085422433907,2,1958,AZ_West
1958-03-01,9.178546851213587,3,1958,AZ_West
1958-04-01,8.40237378456803,4,1958,AZ_West
1958-05-01,10.745851631183442,5,1958,AZ_West
1958-06-01,13.62880411530478,6,1958,AZ_West
1958-07-01,14.690471509595817,7,1958,AZ_West
1958-08-01,27.55939711016104,8,1958,AZ_West
1958-09-01,18.463895917301315,9,1958,AZ_West
1958-10-01,13.098382905303046,10,1958,AZ_West
1958-11-01,8.611012443100892,11,1958,AZ_West
1958-12-01,6.540798015015945,12,1958,AZ_West
1959-01-01,8.254868381951198,1,1959,AZ_West
1959-02-01,8.015293187634605,2,1959,AZ_West
1959-03-01,6.019185401439513,3,1959,AZ_West
1959-04-01,8.571219409159031,4,1959,AZ_West
1959-05-01,9.857354323474684,5,1959,AZ_West
1959-06-01,14.382447400277645,6,1959,AZ_West
1959-07-01,25.93344198075999,7,1959,AZ_West
1959-08-01,26.80989466387028,8,1959,AZ_West
1959-09-01,16.047671305766844,9,1959,AZ_West
1959-10-01,11.697770833154385,10,1959,AZ_West
1959-11-01,8.208015164832199,11,1959,AZ_West
1959-12-01,8.792528076024482,12,1959,AZ_West
1960-01-01,7.8169534016594255,1,1960,AZ_West
1960-02-01,7.352591342432706,2,1960,AZ_West
1960-03-01,8.422045429515414,3,1960,AZ_West
1960-04-01,7.866430569254362,4,1960,AZ_West
1960-05-01,9.400999837252114,5,1960,AZ_West
1960-06-01,12.721909880983295,6,1960,AZ_West
1960-07-01,19.45445585041891,7,1960,AZ_West
1960-08-01,21.43936793716951,8,1960,AZ_West
1960-09-01,21.58223751653169,9,1960,AZ_West
1960-10-01,13.178879106110474,10,1960,AZ_West
1960-11-01,9.046806441111409,11,1960,AZ_West
1960-12-01,6.887859375380272,12,1960,AZ_West
1961-01-01,7.025680644344028,1,1961,AZ_West
1961-02-01,7.056351059389834,2,1961,AZ_West
1961-03-01,8.489475102090742,3,1961,AZ_West
1961-04-01,7.981562384102667,4,1961,AZ_West
1961-05-01,8.690593188569856,5,1961,AZ_West
1961-06-01,13.948950024235415,6,1961,AZ_West
1961-07-01,23.16359081025659,7,1961,AZ_West
1961-08-01,27.843656637582544,8,1961,AZ_West
1961-09-01,14.45111187307694,9,1961,AZ_West
1961-10-01,9.81579957024776,10,1961,AZ_West
1961-11-01,9.446285603224736,11,1961,AZ_West
1961-12-01,8.320954144800009,12,1961,AZ_West
1962-01-01,6.9978018358390495,1,1962,AZ_West
1962-02-01,9.758304184819156,2,1962,AZ_West
1962-03-01,6.28944431683881,3,1962,AZ_West
1962-04-01,7.202342235007875,4,1962,AZ_West
1962-05-01,8.563358202560739,5,1962,AZ_West
1962-06-01,10.952358662605528,6,1962,AZ_West
1962-07-01,17.398156875720034,7,1962,AZ_West
1962-08-01,17.884990170057105,8,1962,AZ_West
1962-09-01,19.193942276442407,9,1962,AZ_West
1962-10-01,11.418548971301789,10,1962,AZ_West
1962-11-01,8.964431427894237,11,1962,AZ_West
1962-12-01,8.332535719314485,12,1962,AZ_West
1963-01-01,6.752068607646881,1,1963,AZ_West
1963-02-01,9.535771362559254,2,1963,AZ_West
1963-03-01,6.519202317133367,3,1963,AZ_West
1963-04-01,7.785822597737008,4,1963,AZ_West
1963-05-01,9.583391007403476,5,1963,AZ_West
1963-06-01,11.563198898400689,6,1963,AZ_West
1963-07-01,18.04111788458269,7,1963,AZ_West
1963-08-01,26.96423670824439,8,1963,AZ_West
1963-09-01,19.4383262724933,9,1963,AZ_West
1963-10-01,14.739371195189456,10,1963,AZ_West
1963-11-01,10.230375761823552,11,1963,AZ_West
1963-12-01,6.024694100714553,12,1963,AZ_West
1964-01-01,5.555536545790433,1,1964,AZ_West
1964-02-01,4.135835633110442,2,1964,AZ_West
1964-03-01,6.324250248151964,3,1964,AZ_West
1964-04-01,7.809201304563682,4,1964,AZ_West
1964-05-01,9.088196199480816,5,1964,AZ_West
1964-06-01,12.414444625214768,6,1964,AZ_West
1964-07-01,23.895244538654747,7,1964,AZ_West
1964-08-01,25.26464597065961,8,1964,AZ_West
1964-09-01,15.927270300307631,9,1964,AZ_West
1964-10-01,13.509055105653486,10,1964,AZ_West
1964-11-01,7.8019787877364095,11,1964,AZ_West
1964-12-01,9.060221587510188,12,1964,AZ_West
1965-01-01,8.988033676140768,1,1965,AZ_West
1965-02-01,6.725017434636849,2,1965,AZ_West
1965-03-01,7.581479127914249,3,1965,AZ_West
1965-04-01,9.475995322406638,4,1965,AZ_West
1965-05-01,9.389231978221089,5,1965,AZ_West
1965-06-01,11.338398727453669,6,1965,AZ_West
1965-07-01,21.67366595725306,7,1965,AZ_West
1965-08-01,20.584588126955797,8,1965,AZ_West
1965-09-01,13.669720178760684,9,1965,AZ_West
1965-10-01,9.19226271404622,10,1965,AZ_West
1965-11-01,11.94495175816086,11,1965,AZ_West
1965-12-01,9.26447191507467,12,1965,AZ_West
1966-01-01,6.310832440545807,1,1966,AZ_West
1966-02-01,6.219081993731554,2,1966,AZ_West
1966-03-01,7.398659503374828,3,1966,AZ_West
1966-04-01,7.098318299760537,4,1966,AZ_West
1966-05-01,11.40231560628839,5,1966,AZ_West
1966-06-01,13.241289741568538,6,1966,AZ_West
1966-07-01,23.946480764327365,7,1966,AZ_West
1966-08-01,24.781761908073342,8,1966,AZ_West
1966-09-01,19.61776084124632,9,1966,AZ_West
1966-10-01,11.38771090019109,10,1966,AZ_West
1966-11-01,10.1983135353184,11,1966,AZ_West
1966-12-01,8.512066091533159,12,1966,AZ_West
1967-01-01,7.465346699091346,1,1967,AZ_West
1967-02-01,5.784179500193086,2,1967,AZ_West
1967-03-01,7.616817300703253,3,1967,AZ_West
1967-04-01,7.06409517286344,4,1967,AZ_West
1967-05-01,9.421416620265688,5,1967,AZ_West
1967-06-01,12.72334427176071,6,1967,AZ_West
1967-07-01,26.086176655877036,7,1967,AZ_West
1967-08-01,27.077114480442475,8,1967,AZ_West
1967-09-01,21.630187151090947,9,1967,AZ_West
1967-10-01,10.455322299176432,10,1967,AZ_West
1967-11-01,11.11481472827896,11,1967,AZ_West
1967-12-01,7.400793791692983,12,1967,AZ_West
1968-01-01,7.302930551528602,1,1968,AZ_West
1968-02-01,10.54910856963581,2,1968,AZ_West
1968-03-01,7.676303269251532,3,1968,AZ_West
1968-04-01,7.434521934017543,4,1968,AZ_West
1968-05-01,9.460201056610812,5,1968,AZ_West
1968-06-01,10.859413333677994,6,1968,AZ_West
