time,tclw,Month,Year,Region
1952-01-01,0.0356932814070804,1,1952,AZ_West
1952-02-01,0.004258677928913,2,1952,AZ_West
1952-03-01,0.0233295045579486,3,1952,AZ_West
1952-04-01,0.0187884936710672,4,1952,AZ_West
1952-05-01,0.0007779857489269,5,1952,AZ_West
1952-06-01,0.0012373461219569,6,1952,AZ_West
1952-07-01,0.0113582563373387,7,1952,AZ_West
1952-08-01,0.0119480920279287,8,1952,AZ_West
1952-09-01,0.009307734724368,9,1952,AZ_West
1952-10-01,0.0001729283374752,10,1952,AZ_West
1952-11-01,0.0116253436032314,11,1952,AZ_West
1952-12-01,0.0221852626309949,12,1952,AZ_West
1953-01-01,0.0118478204399527,1,1953,AZ_West
1953-02-01,0.0033855504317964,2,1953,AZ_West
1953-03-01,0.0046874750041496,3,1953,AZ_West
1953-04-01,0.0045718618392421,4,1953,AZ_West
1953-05-01,0.001794197422144,5,1953,AZ_West
1953-06-01,0.0007678459254237,6,1953,AZ_West
1953-07-01,0.0190743024550591,7,1953,AZ_West
1953-08-01,0.0111861669923519,8,1953,AZ_West
1953-09-01,0.000791409628742,9,1953,AZ_West
1953-10-01,0.0034451188984759,10,1953,AZ_West
1953-11-01,0.0043151541089922,11,1953,AZ_West
1953-12-01,0.001878336383128,12,1953,AZ_West
1954-01-01,0.0204700024164064,1,1954,AZ_West
1954-02-01,0.0062754960150622,2,1954,AZ_West
1954-03-01,0.0240137868315234,3,1954,AZ_West
1954-04-01,0.0011300989107198,4,1954,AZ_West
1954-05-01,0.0015296750761447,5,1954,AZ_West
1954-06-01,0.0033168968750278,6,1954,AZ_West
1954-07-01,0.01688271024796,7,1954,AZ_West
1954-08-01,0.0063112131238559,8,1954,AZ_West
1954-09-01,0.0093226687906623,9,1954,AZ_West
1954-10-01,0.0032960658901004,10,1954,AZ_West
1954-11-01,0.0097909704264977,11,1954,AZ_West
1954-12-01,0.0065074654525099,12,1954,AZ_West
1955-01-01,0.0311245118544385,1,1955,AZ_West
1955-02-01,0.0095404952118763,2,1955,AZ_West
1955-03-01,0.0022313364798372,3,1955,AZ_West
1955-04-01,0.0023639692066532,4,1955,AZ_West
1955-05-01,0.0038161693192937,5,1955,AZ_West
1955-06-01,0.0017091475550298,6,1955,AZ_West
1955-07-01,0.0192552851204234,7,1955,AZ_West
1955-08-01,0.0282136633726035,8,1955,AZ_West
1955-09-01,0.0015958595978759,9,1955,AZ_West
1955-10-01,0.0008602789264363,10,1955,AZ_West
1955-11-01,0.0099072068429681,11,1955,AZ_West
1955-12-01,0.0173075041304661,12,1955,AZ_West
1956-01-01,0.0242876579509654,1,1956,AZ_West
1956-02-01,0.0075397618102912,2,1956,AZ_West
1956-03-01,0.0009224842266509,3,1956,AZ_West
1956-04-01,0.0039436722063232,4,1956,AZ_West
1956-05-01,0.0022122553935286,5,1956,AZ_West
1956-06-01,0.0010250810223806,6,1956,AZ_West
1956-07-01,0.010831896421303,7,1956,AZ_West
1956-08-01,0.0028197578688038,8,1956,AZ_West
1956-09-01,0.0018585841028286,9,1956,AZ_West
1956-10-01,0.0040957216164432,10,1956,AZ_West
1956-11-01,0.0005172508547325,11,1956,AZ_West
1956-12-01,0.0038957777208401,12,1956,AZ_West
1957-01-01,0.054184579967527,1,1957,AZ_West
1957-02-01,0.0164261065645349,2,1957,AZ_West
1957-03-01,0.007996533292214,3,1957,AZ_West
1957-04-01,0.0073902054064226,4,1957,AZ_West
1957-05-01,0.0079433411684467,5,1957,AZ_West
1957-06-01,0.0047254933494831,6,1957,AZ_West
1957-07-01,0.0084277035176323,7,1957,AZ_West
1957-08-01,0.0131435844103193,8,1957,AZ_West
1957-09-01,0.0026473089556077,9,1957,AZ_West
1957-10-01,0.0306358826291688,10,1957,AZ_West
1957-11-01,0.0148558242519495,11,1957,AZ_West
1957-12-01,0.015138085296276,12,1957,AZ_West
1958-01-01,0.0070701177864743,1,1958,AZ_West
1958-02-01,0.0213190148722836,2,1958,AZ_West
1958-03-01,0.0218548194466178,3,1958,AZ_West
1958-04-01,0.0110407096660697,4,1958,AZ_West
1958-05-01,0.0027709524771904,5,1958,AZ_West
1958-06-01,0.0022554994635044,6,1958,AZ_West
1958-07-01,0.0041247507565434,7,1958,AZ_West
1958-08-01,0.015982878818497,8,1958,AZ_West
1958-09-01,0.013842489124407,9,1958,AZ_West
1958-10-01,0.0078821906016461,10,1958,AZ_West
1958-11-01,0.0086557416759913,11,1958,AZ_West
1958-12-01,0.0005782815654633,12,1958,AZ_West
1959-01-01,0.0075652911531539,1,1959,AZ_West
1959-02-01,0.0260340807436962,2,1959,AZ_West
1959-03-01,0.0007485251269755,3,1959,AZ_West
1959-04-01,0.00260835573293,4,1959,AZ_West
1959-05-01,0.0032867890302996,5,1959,AZ_West
1959-06-01,0.0036277076351753,6,1959,AZ_West
1959-07-01,0.0112045768846698,7,1959,AZ_West
1959-08-01,0.023895920372504,8,1959,AZ_West
1959-09-01,0.0099910581493846,9,1959,AZ_West
1959-10-01,0.0091497404531871,10,1959,AZ_West
1959-11-01,0.0062439978399246,11,1959,AZ_West
1959-12-01,0.0299927349587417,12,1959,AZ_West
1960-01-01,0.0178194813181285,1,1960,AZ_West
1960-02-01,0.0129922301654041,2,1960,AZ_West
1960-03-01,0.003982098062294,3,1960,AZ_West
1960-04-01,0.0065582125124538,4,1960,AZ_West
1960-05-01,0.0021321196252753,5,1960,AZ_West
1960-06-01,0.0019590474605163,6,1960,AZ_West
1960-07-01,0.0070579404097849,7,1960,AZ_West
1960-08-01,0.0091223173844219,8,1960,AZ_West
1960-09-01,0.0167833495661143,9,1960,AZ_West
1960-10-01,0.0138445027063793,10,1960,AZ_West
1960-11-01,0.0130294334894631,11,1960,AZ_West
1960-12-01,0.0038556019662506,12,1960,AZ_West
1961-01-01,0.011289123356291,1,1961,AZ_West
1961-02-01,0.0022024751382348,2,1961,AZ_West
1961-03-01,0.0099357565587892,3,1961,AZ_West
1961-04-01,0.0022753476286596,4,1961,AZ_West
1961-05-01,0.0016218923362316,5,1961,AZ_West
1961-06-01,0.0015760114327207,6,1961,AZ_West
1961-07-01,0.0117965939557297,7,1961,AZ_West
1961-08-01,0.0250574215735057,8,1961,AZ_West
1961-09-01,0.0114834100454006,9,1961,AZ_West
1961-10-01,0.0066910370089814,10,1961,AZ_West
1961-11-01,0.0148132034335365,11,1961,AZ_West
1961-12-01,0.0255345206448628,12,1961,AZ_West
1962-01-01,0.0148150492170111,1,1962,AZ_West
1962-02-01,0.0277994407954518,2,1962,AZ_West
1962-03-01,0.0073507248170379,3,1962,AZ_West
1962-04-01,0.0005934074014693,4,1962,AZ_West
1962-05-01,0.0032419628602027,5,1962,AZ_West
1962-06-01,0.0023427786535165,6,1962,AZ_West
1962-07-01,0.0058807380636424,7,1962,AZ_West
1962-08-01,0.0044580225441672,8,1962,AZ_West
1962-09-01,0.0181441234687284,9,1962,AZ_West
1962-10-01,0.0081493737523945,10,1962,AZ_West
1962-11-01,0.0034932051536707,11,1962,AZ_West
1962-12-01,0.0128231851645896,12,1962,AZ_West
1963-01-01,0.0094410146739608,1,1963,AZ_West
1963-02-01,0.0097087012202023,2,1963,AZ_West
1963-03-01,0.007046554083156,3,1963,AZ_West
1963-04-01,0.0063284723979039,4,1963,AZ_West
1963-05-01,0.0015860074289402,5,1963,AZ_West
1963-06-01,0.0027978961216764,6,1963,AZ_West
1963-07-01,0.0038145392767447,7,1963,AZ_West
1963-08-01,0.0229684741045642,8,1963,AZ_West
1963-09-01,0.0190158126930076,9,1963,AZ_West
1963-10-01,0.0116690191550583,10,1963,AZ_West
1963-11-01,0.0111536140838003,11,1963,AZ_West
1963-12-01,0.0012075978454381,12,1963,AZ_West
1964-01-01,0.0063867464190298,1,1964,AZ_West
1964-02-01,0.0035917987566699,2,1964,AZ_West
1964-03-01,0.007594368235682,3,1964,AZ_West
1964-04-01,0.0064549205515194,4,1964,AZ_West
1964-05-01,0.0039813549546613,5,1964,AZ_West
1964-06-01,0.0027430739553601,6,1964,AZ_West
1964-07-01,0.0119736213707914,7,1964,AZ_West
1964-08-01,0.0177499408264435,8,1964,AZ_West
1964-09-01,0.0069507411409757,9,1964,AZ_West
1964-10-01,0.0045360488455925,10,1964,AZ_West
1964-11-01,0.0087446509085524,11,1964,AZ_West
1964-12-01,0.0127354744927263,12,1964,AZ_West
1965-01-01,0.0119132139116234,1,1965,AZ_West
