time,q,Month,Year,Region
1954-01-01,0.002579630106272,1,1954,AZ_West
1954-02-01,0.0024825424943627,2,1954,AZ_West
1954-03-01,0.0026077808616911,3,1954,AZ_West
1954-04-01,0.0029562308437126,4,1954,AZ_West
1954-05-01,0.0031524998328693,5,1954,AZ_West
1954-06-01,0.0038794946130981,6,1954,AZ_West
1954-07-01,0.0075072659055149,7,1954,AZ_West
1954-08-01,0.0055038199937021,8,1954,AZ_West
1954-09-01,0.0051847100090225,9,1954,AZ_West
1954-10-01,0.0034596530393471,10,1954,AZ_West
1954-11-01,0.0029478830649692,11,1954,AZ_West
1954-12-01,0.002205216174861,12,1954,AZ_West
1955-01-01,0.0024970064743593,1,1955,AZ_West
1955-02-01,0.0020261974895705,2,1955,AZ_West
1955-03-01,0.002218258660983,3,1955,AZ_West
1955-04-01,0.0019126360788152,4,1955,AZ_West
1955-05-01,0.0030955470371899,5,1955,AZ_West
1955-06-01,0.0032256794848073,6,1955,AZ_West
1955-07-01,0.007317390840578,7,1955,AZ_West
1955-08-01,0.0101635321797277,8,1955,AZ_West
1955-09-01,0.0037549446069767,9,1955,AZ_West
1955-10-01,0.0033107634483919,10,1955,AZ_West
1955-11-01,0.0029085660274497,11,1955,AZ_West
1955-12-01,0.0034927832206521,12,1955,AZ_West
1956-01-01,0.0030506069840381,1,1956,AZ_West
1956-02-01,0.0020155628685651,2,1956,AZ_West
1956-03-01,0.0015776476158048,3,1956,AZ_West
1956-04-01,0.0026432531500298,4,1956,AZ_West
1956-05-01,0.003122108405757,5,1956,AZ_West
1956-06-01,0.0032144481441783,6,1956,AZ_West
1956-07-01,0.0061478273739008,7,1956,AZ_West
1956-08-01,0.0044076376505357,8,1956,AZ_West
1956-09-01,0.0040361198729836,9,1956,AZ_West
1956-10-01,0.0032362735316766,10,1956,AZ_West
1956-11-01,0.0015901521448453,11,1956,AZ_West
1956-12-01,0.0019817618149048,12,1956,AZ_West
1957-01-01,0.0034392561412641,1,1957,AZ_West
1957-02-01,0.0041508628305669,2,1957,AZ_West
1957-03-01,0.0031461478818938,3,1957,AZ_West
1957-04-01,0.0027836480558863,4,1957,AZ_West
1957-05-01,0.0036084376971914,5,1957,AZ_West
1957-06-01,0.0036500898462039,6,1957,AZ_West
1957-07-01,0.0054902444473772,7,1957,AZ_West
1957-08-01,0.0065233514976243,8,1957,AZ_West
1957-09-01,0.0044175867085504,9,1957,AZ_West
1957-10-01,0.005302866090924,10,1957,AZ_West
1957-11-01,0.0032912472888858,11,1957,AZ_West
1957-12-01,0.0028261571586372,12,1957,AZ_West
1958-01-01,0.0024213504010057,1,1958,AZ_West
1958-02-01,0.0038077140693045,2,1958,AZ_West
1958-03-01,0.0034545469941741,3,1958,AZ_West
1958-04-01,0.0030613444394922,4,1958,AZ_West
1958-05-01,0.00329274083683,5,1958,AZ_West
1958-06-01,0.0040965487528478,6,1958,AZ_West
1958-07-01,0.0041910242298515,7,1958,AZ_West
1958-08-01,0.0080985415993057,8,1958,AZ_West
1958-09-01,0.0059793761524249,9,1958,AZ_West
1958-10-01,0.0045187807028635,10,1958,AZ_West
1958-11-01,0.0029417829534596,11,1958,AZ_West
1958-12-01,0.002199179023218,12,1958,AZ_West
1959-01-01,0.0026454994181556,1,1959,AZ_West
1959-02-01,0.0030055927781547,2,1959,AZ_West
1959-03-01,0.002137066316702,3,1959,AZ_West
1959-04-01,0.0027839628552188,4,1959,AZ_West
1959-05-01,0.0032730847665095,5,1959,AZ_West
1959-06-01,0.0043517887511822,6,1959,AZ_West
1959-07-01,0.0073418108741301,7,1959,AZ_West
1959-08-01,0.0089548580439823,8,1959,AZ_West
1959-09-01,0.0054060433210317,9,1959,AZ_West
1959-10-01,0.0038065605046394,10,1959,AZ_West
1959-11-01,0.0029950225161239,11,1959,AZ_West
1959-12-01,0.0028500854056766,12,1959,AZ_West
1960-01-01,0.0026190387853749,1,1960,AZ_West
