time,tp,Month,Year,Region
1953-03-01,0.0004698245902279,3,1953,AZ_West
1953-04-01,0.0003474455360494,4,1953,AZ_West
1953-05-01,9.826912333474588e-05,5,1953,AZ_West
1953-06-01,1.5510884018797762e-05,6,1953,AZ_West
1953-07-01,0.000565889763469,7,1953,AZ_West
1953-08-01,0.0006953731319935,8,1953,AZ_West
1953-09-01,2.1905980750080728e-05,9,1953,AZ_West
1953-10-01,0.0002641029291634,10,1953,AZ_West
1953-11-01,0.0002617377144287,11,1953,AZ_West
1953-12-01,8.817187597404586e-05,12,1953,AZ_West
1954-01-01,0.0014320404162535,1,1954,AZ_West
1954-02-01,0.0005115522495939,2,1954,AZ_West
1954-03-01,0.0017821719622913,3,1954,AZ_West
1954-04-01,8.571128967749202e-05,4,1954,AZ_West
1954-05-01,9.575131410106292e-05,5,1954,AZ_West
1954-06-01,0.0001818805046224,6,1954,AZ_West
1954-07-01,0.0005774765412235,7,1954,AZ_West
1954-08-01,0.0002017247256074,8,1954,AZ_West
1954-09-01,0.000371406340451,9,1954,AZ_West
1954-10-01,0.0001012204396678,10,1954,AZ_West
1954-11-01,0.0003375130213865,11,1954,AZ_West
1954-12-01,0.0003778291816366,12,1954,AZ_West
1955-01-01,0.0021195861440592,1,1955,AZ_West
1955-02-01,0.0004708494010111,2,1955,AZ_West
1955-03-01,0.0001071560188737,3,1955,AZ_West
1955-04-01,0.0001358697951137,4,1955,AZ_West
1955-05-01,0.0002425628284053,5,1955,AZ_West
1955-06-01,0.0001820747158029,6,1955,AZ_West
1955-07-01,0.0011123757491661,7,1955,AZ_West
1955-08-01,0.0016081292660271,8,1955,AZ_West
1955-09-01,3.66278818478557e-05,9,1955,AZ_West
1955-10-01,1.9700296628011407e-05,10,1955,AZ_West
1955-11-01,0.0004523715944035,11,1955,AZ_West
1955-12-01,0.0005426485808526,12,1955,AZ_West
1956-01-01,0.0006456602718554,1,1956,AZ_West
1956-02-01,0.0002479695289498,2,1956,AZ_West
1956-03-01,4.9759678904799006e-05,3,1956,AZ_West
1956-04-01,0.0003499633452831,4,1956,AZ_West
1956-05-01,0.0001467022705151,5,1956,AZ_West
1956-06-01,4.42142560884639e-05,6,1956,AZ_West
1956-07-01,0.0003304347174665,7,1956,AZ_West
1956-08-01,8.257096424897982e-05,8,1956,AZ_West
1956-09-01,1.65721093982841e-05,9,1956,AZ_West
1956-10-01,0.0001943256264338,10,1956,AZ_West
1956-11-01,1.873270878200926e-05,11,1956,AZ_West
1956-12-01,0.0001238061595499,12,1956,AZ_West
1957-01-01,0.0020552831689816,1,1957,AZ_West
1957-02-01,0.0005747870631784,2,1957,AZ_West
1957-03-01,0.000557155462429,3,1957,AZ_West
1957-04-01,0.0003843283200718,4,1957,AZ_West
1957-05-01,0.0007003948782337,5,1957,AZ_West
1957-06-01,0.0002168367830947,6,1957,AZ_West
1957-07-01,0.0002659236589811,7,1957,AZ_West
1957-08-01,0.0006895450625483,8,1957,AZ_West
1957-09-01,2.682715334318858e-05,9,1957,AZ_West
1957-10-01,0.0018382001538543,10,1957,AZ_West
1957-11-01,0.000821971077264,11,1957,AZ_West
1957-12-01,0.00025747200457,12,1957,AZ_West
1958-01-01,0.0002830437213532,1,1958,AZ_West
1958-02-01,0.0016252961471659,2,1958,AZ_West
1958-03-01,0.0016798486805624,3,1958,AZ_West
1958-04-01,0.001092217669041,4,1958,AZ_West
1958-05-01,0.000227272165993,5,1958,AZ_West
1958-06-01,3.995721637173403e-05,6,1958,AZ_West
1958-07-01,0.0001683672213179,7,1958,AZ_West
1958-08-01,0.0004568766001812,8,1958,AZ_West
1958-09-01,0.0008907877282612,9,1958,AZ_West
1958-10-01,0.000534883601687,10,1958,AZ_West
1958-11-01,0.000485611184762,11,1958,AZ_West
1958-12-01,1.389303552360062e-05,12,1958,AZ_West
1959-01-01,0.0002829292754789,1,1959,AZ_West
1959-02-01,0.0015716401064511,2,1959,AZ_West
1959-03-01,7.796711885267916e-05,3,1959,AZ_West
1959-04-01,0.0002012357295992,4,1959,AZ_West
1959-05-01,0.0001803233471211,5,1959,AZ_West
1959-06-01,0.0001626206512074,6,1959,AZ_West
1959-07-01,0.0005888569695986,7,1959,AZ_West
1959-08-01,0.0012597646949268,8,1959,AZ_West
1959-09-01,0.0006659223936844,9,1959,AZ_West
1959-10-01,0.0006044372147533,10,1959,AZ_West
1959-11-01,0.0003026625186465,11,1959,AZ_West
1959-12-01,0.0019398731749341,12,1959,AZ_West
1960-01-01,0.0009259208776301,1,1960,AZ_West
1960-02-01,0.0007986917460228,2,1960,AZ_West
1960-03-01,0.0002292177458554,3,1960,AZ_West
1960-04-01,0.0005176681677531,4,1960,AZ_West
